iter,loss,phys,bc,shape,tip,block,EI_eff_Nmm2,k_p_N_per_kPa,val_total,val_shape,val_tip,val_block
27,12.18747615814209,1.44844388961792,0.04674472287297249,0.3242982029914856,0.189232736825943,9.660518844611943e-05,1358.6383056640625,0.0011686533689498901,18.775196075439453,0.29879024624824524,0.6397775411605835,0.00038401311030611396
28,12.218218803405762,1.4492912292480469,0.051235295832157135,0.3241482079029083,0.18862886726856232,0.00010331459634471685,1356.9547119140625,0.0011676213471218944,18.660823822021484,0.298799604177475,0.6340367794036865,0.00040976674063131213
29,12.155597686767578,1.4404008388519287,0.04685092344880104,0.3240041732788086,0.1882750689983368,0.00011023541446775198,1355.2567138671875,0.0011665915371850133,18.654916763305664,0.2988058924674988,0.6337217688560486,0.0004363000043667853
30,12.185664176940918,1.4729759693145752,0.04641006886959076,0.32385769486427307,0.18851299583911896,0.00011736548913177103,1353.543701171875,0.0011655562557280064,18.857213973999023,0.29880475997924805,0.6438239812850952,0.0004638083337340504
31,12.104558944702148,1.440570592880249,0.040553703904151917,0.3237035572528839,0.1891566514968872,0.00012475758558139205,1351.82958984375,0.0011645196937024593,19.21371078491211,0.2987954020500183,0.6616439819335938,0.0004921972868032753
32,12.12156867980957,1.408046007156372,0.043543510138988495,0.32354259490966797,0.19029560685157776,0.00013238596147857606,1350.1248779296875,0.0011634876718744636,19.626100540161133,0.29877763986587524,0.6822667717933655,0.0005212985561229289
33,12.02056884765625,1.4280353784561157,0.02775353193283081,0.32338058948516846,0.1922992318868637,0.00014020525850355625,1348.4278564453125,0.0011624537874013186,19.917701721191406,0.2987646460533142,0.6968448162078857,0.0005512888310477138
34,12.159639358520508,1.3952081203460693,0.04204913228750229,0.32322371006011963,0.19389916956424713,0.0001482633379055187,1346.7525634765625,0.0011614224640652537,19.943157196044922,0.2987435460090637,0.6981232762336731,0.0005820430815219879
35,12.091633796691895,1.451454997062683,0.030155356973409653,0.3230762481689453,0.19377674162387848,0.00015652671572752297,1345.080078125,0.0011603832244873047,19.75063705444336,0.2987182140350342,0.6885067224502563,0.0006138775497674942
36,12.144499778747559,1.417541742324829,0.041505396366119385,0.322933554649353,0.19257913529872894,0.00016507993859704584,1343.41259765625,0.0011593479430302978,19.588090896606445,0.29867786169052124,0.680403470993042,0.0006464319303631783
37,11.974387168884277,1.4165204763412476,0.026286322623491287,0.3227880001068115,0.19187526404857635,0.00017382633814122528,1341.76220703125,0.0011583107989281416,19.489700317382812,0.29863059520721436,0.6755144596099854,0.0006798881804570556
38,12.042686462402344,1.4338493347167969,0.033336006104946136,0.3226340413093567,0.19104844331741333,0.00018281488155480474,1340.114501953125,0.0011572727235034108,19.493886947631836,0.298571914434433,0.675765335559845,0.0007142219110392034
