split,s_mm,s_over_L,p_kpa,x_mm,y_mm
train,149.7907949790795,0.7489539748953975,31.0,141.33040652340742,44.433571691509606
train,158.15899581589957,0.7907949790794979,31.0,148.62188245051294,48.53972911750854
train,166.52719665271965,0.8326359832635982,31.0,155.87410592448867,52.714847626914775
train,174.89539748953973,0.8744769874476986,31.0,163.09445768084768,56.94486515690413
train,183.2635983263598,0.9163179916317991,31.0,170.29063282616752,61.2158974673407
train,191.63179916317992,0.9581589958158996,31.0,177.47056074899834,65.51419628139031
train,200.0,1.0,31.0,184.64232630351202,69.8261051950298
train,0.0,0.0,38.0,-2.264427953793615e-15,1.5533207618402394e-24
train,7.531380753138075,0.03765690376569038,38.0,7.52833045627891,0.18590039006716635
train,15.899581589958158,0.0794979079497908,38.0,15.871797919280134,0.8162742957711935
train,24.26778242677824,0.1213389121338912,38.0,24.172212579083574,1.8723635100810925
train,32.63598326359833,0.16317991631799164,38.0,32.41127935492829,3.3322645204429278
train,41.004184100418406,0.20502092050209203,38.0,40.57366354848705,5.173535242498308
train,49.37238493723849,0.24686192468619247,38.0,48.64685440431666,7.373440070144659
train,57.74058577405857,0.28870292887029286,38.0,56.62101525270634,9.909162020377332
train,66.10878661087865,0.3305439330543933,38.0,64.48882416901125,12.757983188475702
train,74.47698744769875,0.37238493723849375,38.0,72.24530858180907,15.897435025387528
train,82.84518828451883,0.4142259414225941,38.0,79.88767677378397,19.30542016824057
train,91.2133891213389,0.45606694560669453,38.0,87.41514875126002,22.960307706540195
train,99.58158995815899,0.49790794979079495,38.0,94.82878851610165,26.841003860399617
train,107.94979079497908,0.5397489539748954,38.0,102.13133936102943,30.92700009234048
train,116.31799163179916,0.5815899581589958,38.0,109.32706342867382,35.198400679536846
train,124.68619246861924,0.6234309623430963,38.0,116.42158642720071,39.63593174699525
train,133.05439330543933,0.6652719665271967,38.0,123.42174808146746,44.2209337115402
train,141.4225941422594,0.7071129707112971,38.0,130.33545861807193,48.935339018382365
train,149.7907949790795,0.7489539748953975,38.0,137.17156133445906,53.76163697254657
